dataset,phase,Wake,N1,N2,N3,REM,total_epochs,Wake_fraction
isruc_s1,BEFORE,297,116,210,131,233,987,0.3009118541033435
isruc_s1,AFTER,287,116,210,131,233,977,0.2937563971340839
isruc_s1,BEFORE,198,120,250,119,119,806,0.2456575682382134
isruc_s1,AFTER,198,120,250,119,119,806,0.2456575682382134
isruc_s1,BEFORE,112,224,368,76,152,932,0.12017167381974249
isruc_s1,AFTER,112,224,368,76,152,932,0.12017167381974249
isruc_s1,BEFORE,337,140,208,130,85,900,0.37444444444444447
isruc_s1,AFTER,318,140,208,130,85,881,0.36095346197502837
isruc_s1,BEFORE,210,81,337,228,118,974,0.21560574948665298
isruc_s1,AFTER,210,81,337,228,118,974,0.21560574948665298
isruc_s1,BEFORE,388,111,233,42,38,812,0.47783251231527096
isruc_s1,AFTER,260,111,233,42,38,684,0.38011695906432746
isruc_s1,BEFORE,71,176,263,144,93,747,0.09504685408299866
isruc_s1,AFTER,71,176,263,144,93,747,0.09504685408299866
isruc_s1,BEFORE,90,135,365,173,169,932,0.09656652360515021
isruc_s1,AFTER,90,135,365,173,169,932,0.09656652360515021
isruc_s1,BEFORE,142,101,300,193,170,906,0.15673289183222958
isruc_s1,AFTER,138,101,300,193,170,902,0.15299334811529933
isruc_s1,BEFORE,138,67,386,129,143,863,0.15990730011587487
isruc_s1,AFTER,138,67,386,129,143,863,0.15990730011587487
isruc_s1,BEFORE,286,168,211,115,58,838,0.3412887828162291
isruc_s1,AFTER,264,168,211,115,58,816,0.3235294117647059
isruc_s1,BEFORE,347,71,212,206,145,981,0.35372069317023447
isruc_s1,AFTER,206,71,212,206,145,840,0.24523809523809523
isruc_s1,BEFORE,175,84,244,222,68,793,0.22068095838587642
isruc_s1,AFTER,175,84,244,222,68,793,0.22068095838587642
isruc_s1,BEFORE,107,38,327,206,227,905,0.11823204419889503
isruc_s1,AFTER,107,38,327,206,227,905,0.11823204419889503
isruc_s1,BEFORE,197,69,345,148,97,856,0.23014018691588786
isruc_s1,AFTER,197,69,345,148,97,856,0.23014018691588786
isruc_s1,BEFORE,162,101,279,276,94,912,0.17763157894736842
isruc_s1,AFTER,162,101,279,276,94,912,0.17763157894736842
isruc_s1,BEFORE,29,74,373,257,177,910,0.031868131868131866
isruc_s1,AFTER,29,74,373,257,177,910,0.031868131868131866
isruc_s1,BEFORE,222,81,204,307,0,814,0.2727272727272727
isruc_s1,AFTER,189,81,204,307,0,781,0.24199743918053776
isruc_s1,BEFORE,94,88,364,199,134,879,0.10693970420932879
isruc_s1,AFTER,94,88,364,199,134,879,0.10693970420932879
isruc_s1,BEFORE,236,126,315,150,129,956,0.24686192468619247
isruc_s1,AFTER,231,126,315,150,129,951,0.24290220820189273
isruc_s1,BEFORE,151,69,281,401,105,1007,0.1499503475670308
isruc_s1,AFTER,101,69,281,401,105,957,0.10553814002089865
isruc_s1,BEFORE,94,196,421,131,123,965,0.09740932642487046
isruc_s1,AFTER,94,196,421,131,123,965,0.09740932642487046
isruc_s1,BEFORE,122,175,217,277,151,942,0.12951167728237792
isruc_s1,AFTER,122,175,217,277,151,942,0.12951167728237792
isruc_s1,BEFORE,169,89,292,233,133,916,0.18449781659388648
isruc_s1,AFTER,169,89,292,233,133,916,0.18449781659388648
isruc_s1,BEFORE,202,103,249,221,77,852,0.23708920187793428
isruc_s1,AFTER,202,103,249,221,77,852,0.23708920187793428
isruc_s1,BEFORE,87,116,320,216,125,864,0.10069444444444445
isruc_s1,AFTER,87,116,320,216,125,864,0.10069444444444445
isruc_s1,BEFORE,301,154,317,101,81,954,0.31551362683438156
isruc_s1,AFTER,217,154,317,101,81,870,0.24942528735632183
isruc_s1,BEFORE,212,245,171,179,85,892,0.23766816143497757
isruc_s1,AFTER,212,245,171,179,85,892,0.23766816143497757
isruc_s1,BEFORE,188,50,225,417,134,1014,0.1854043392504931
isruc_s1,AFTER,98,50,225,417,134,924,0.10606060606060606
isruc_s1,BEFORE,258,152,198,147,90,845,0.30532544378698223
isruc_s1,AFTER,258,152,198,147,90,845,0.30532544378698223
isruc_s1,BEFORE,77,132,279,193,181,862,0.08932714617169374
isruc_s1,AFTER,77,132,279,193,181,862,0.08932714617169374
isruc_s1,BEFORE,130,159,335,193,139,956,0.13598326359832635
isruc_s1,AFTER,130,159,335,193,139,956,0.13598326359832635
isruc_s1,BEFORE,33,27,223,298,234,815,0.04049079754601227
isruc_s1,AFTER,33,27,223,298,234,815,0.04049079754601227
isruc_s1,BEFORE,259,199,248,76,111,893,0.29003359462486
isruc_s1,AFTER,259,199,248,76,111,893,0.29003359462486
isruc_s1,BEFORE,109,165,382,81,92,829,0.13148371531966224
isruc_s1,AFTER,109,165,382,81,92,829,0.13148371531966224
isruc_s1,BEFORE,277,115,224,135,121,872,0.3176605504587156
isruc_s1,AFTER,277,115,224,135,121,872,0.3176605504587156
isruc_s1,BEFORE,223,177,319,167,111,997,0.22367101303911735
isruc_s1,AFTER,223,177,319,167,111,997,0.22367101303911735
isruc_s1,BEFORE,375,85,275,81,81,897,0.4180602006688963
isruc_s1,AFTER,371,85,275,81,81,893,0.4154535274356103
isruc_s1,BEFORE,254,165,234,168,77,898,0.2828507795100223
isruc_s1,AFTER,254,165,234,168,77,898,0.2828507795100223
isruc_s1,BEFORE,34,41,457,188,130,850,0.04
isruc_s1,AFTER,34,41,457,188,130,850,0.04
isruc_s1,BEFORE,82,149,352,168,54,805,0.10186335403726708
isruc_s1,AFTER,82,149,352,168,54,805,0.10186335403726708
isruc_s1,BEFORE,234,69,252,205,134,894,0.26174496644295303
isruc_s1,AFTER,234,69,252,205,134,894,0.26174496644295303
isruc_s1,BEFORE,58,151,377,150,144,880,0.0659090909090909
isruc_s1,AFTER,58,151,377,150,144,880,0.0659090909090909
isruc_s1,BEFORE,119,171,362,179,58,889,0.13385826771653545
isruc_s1,AFTER,119,171,362,179,58,889,0.13385826771653545
isruc_s1,BEFORE,367,96,208,187,53,911,0.40285400658616904
isruc_s1,AFTER,367,96,208,187,53,911,0.40285400658616904
isruc_s1,BEFORE,162,111,282,205,122,882,0.1836734693877551
isruc_s1,AFTER,162,111,282,205,122,882,0.1836734693877551
isruc_s1,BEFORE,227,93,350,115,140,925,0.2454054054054054
isruc_s1,AFTER,227,93,350,115,140,925,0.2454054054054054
isruc_s1,BEFORE,121,56,292,345,149,963,0.1256490134994808
isruc_s1,AFTER,121,56,292,345,149,963,0.1256490134994808
isruc_s1,BEFORE,130,85,358,196,127,896,0.14508928571428573
isruc_s1,AFTER,130,85,358,196,127,896,0.14508928571428573
isruc_s1,BEFORE,180,137,390,128,129,964,0.18672199170124482
isruc_s1,AFTER,180,137,390,128,129,964,0.18672199170124482
isruc_s1,BEFORE,180,64,344,180,158,926,0.19438444924406048
isruc_s1,AFTER,180,64,344,180,158,926,0.19438444924406048
isruc_s1,BEFORE,262,123,354,255,8,1002,0.26147704590818366
isruc_s1,AFTER,203,123,354,255,8,943,0.21527041357370094
isruc_s1,BEFORE,417,87,269,172,91,1036,0.4025096525096525
isruc_s1,AFTER,333,87,269,172,91,952,0.34978991596638653
isruc_s1,BEFORE,59,167,408,197,102,933,0.0632368703108253
isruc_s1,AFTER,59,167,408,197,102,933,0.0632368703108253
isruc_s1,BEFORE,143,124,352,177,194,990,0.14444444444444443
isruc_s1,AFTER,143,124,352,177,194,990,0.14444444444444443
isruc_s1,BEFORE,166,54,375,209,73,877,0.18928164196123148
isruc_s1,AFTER,93,54,375,209,73,804,0.11567164179104478
isruc_s1,BEFORE,56,152,372,158,132,870,0.06436781609195402
isruc_s1,AFTER,56,152,372,158,132,870,0.06436781609195402
isruc_s1,BEFORE,215,75,308,129,119,846,0.2541371158392435
isruc_s1,AFTER,215,75,308,129,119,846,0.2541371158392435
isruc_s1,BEFORE,152,176,245,132,160,865,0.17572254335260115
isruc_s1,AFTER,152,176,245,132,160,865,0.17572254335260115
isruc_s1,BEFORE,148,58,317,199,136,858,0.17249417249417248
isruc_s1,AFTER,148,58,317,199,136,858,0.17249417249417248
isruc_s1,BEFORE,199,92,212,261,148,912,0.21820175438596492
isruc_s1,AFTER,199,92,212,261,148,912,0.21820175438596492
isruc_s1,BEFORE,142,147,333,141,136,899,0.15795328142380421
isruc_s1,AFTER,142,147,333,141,136,899,0.15795328142380421
isruc_s1,BEFORE,64,20,327,229,195,835,0.07664670658682635
isruc_s1,AFTER,64,20,327,229,195,835,0.07664670658682635
isruc_s1,BEFORE,77,151,329,173,131,861,0.08943089430894309
isruc_s1,AFTER,77,151,329,173,131,861,0.08943089430894309
